criminalidad,es_archivo,es_preclusion,estado,etapa_caso,ley,pais_hecho,departamento_hecho,municipio_hecho,seccional,anio_hechos,anio_entrada,anio_denuncia,grupo_delito,victima_consumado,sexo,grupo_etario,pais_nacimiento,aplica_lgbti,aplica_nna,indigena,afrodescendiente,total_victimas,delito,agravante,Type,total_victimas_nna,cod_dep,cod_mun
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Meta,VILLAVICENCIO,DIRECCIÓN SECCIONAL DE META,2018,2018,2018,DELITOS SEXUALES,NO APLICA,MASCULINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,50,50001
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Nariño,SAMANIEGO,DIRECCIÓN SECCIONAL DE NARIÑO,2017,2017,2017,DELITOS SEXUALES,NO APLICA,FEMENINO,SIN DATO,Colombia,NO,SI,NO,NO,1,PROXENETISMO CON MENOR DE EDAD ART. 213A,,ESCNNA,1,52,52678
SI,NO,NO,ACTIVO,JUICIO,Ley 906,Colombia,Atlántico,BARRANQUILLA,DIRECCIÓN SECCIONAL DE ATLÁNTICO,2018,2018,2018,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,1,INDUCCION A LA PROSTITUCION ART. 213,,ESCNNA,1,08,08001
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Bolívar,SANTA ROSA DEL SUR,DIRECCIÓN SECCIONAL DE BOLÍVAR,2018,2018,2018,DELITOS SEXUALES,NO APLICA,MASCULINO,SIN DATO,Colombia,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,13,13688
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Cesar,ASTREA,DIRECCIÓN SECCIONAL DE CESAR,2025,2025,2025,DELITOS SEXUALES,NO APLICA,SIN DATO,ADOLESCENTE (14-17 años),SIN DATO,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,20,20032
SI,NO,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Valle del Cauca,CALI,DIRECCIÓN SECCIONAL DE CALI,2017,2017,2017,DELITOS SEXUALES,NO APLICA,MASCULINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,1,UTILIZAC.O FACILITAC.MEDIOS DE COMUNICAC.PARA OFRECER ACTIV. SEXUALES CON MENORES DE 18 AÑOS ART. 219A,,ESCNNA,1,76,76001
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Quindío,MONTENEGRO,DIRECCIÓN SECCIONAL DE QUINDÍO,2014,2014,2014,DELITOS SEXUALES,NO APLICA,FEMENINO,SIN DATO,Colombia,NO,SI,NO,NO,1,UTILIZAC.O FACILITAC.MEDIOS DE COMUNICAC.PARA OFRECER ACTIV. SEXUALES CON MENORES DE 18 AÑOS ART. 219A,,ESCNNA,1,63,63470
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 1098,Colombia,Cundinamarca,GUADUAS,DIRECCIÓN SECCIONAL DE CUNDINAMARCA,2020,2020,2020,DELITOS SEXUALES,NO APLICA,FEMENINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,25,25320
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Antioquia,PUERTO BERRÍO,DIRECCIÓN SECCIONAL DE ANTIOQUIA,2024,2024,2024,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),SIN DATO,NO,SI,NO,NO,1,DEMANDA DE EXPLOT.SEX. COMERC. MENOR DE 18 AÑOS ART. 217A,N.1 EJECUTADA POR TURISTA O VIAJERO NACIONAL O EXTRANJERO,ESCNNA,1,05,05579
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Magdalena,SANTA MARTA,DIRECCIÓN SECCIONAL DE MAGDALENA,2017,2017,2017,DELITOS SEXUALES,NO APLICA,MASCULINO,ADULTO,Colombia,NO,NO,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,0,47,47001
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Atlántico,BARRANQUILLA,DIRECCIÓN SECCIONAL DE ATLÁNTICO,2022,2022,2022,DELITOS SEXUALES,NO APLICA,FEMENINO,ADULTO,Colombia,NO,NO,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,0,08,08001
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Bolívar,CARTAGENA,DIRECCIÓN SECCIONAL DE BOLÍVAR,2019,2019,2019,DELITOS SEXUALES,NO APLICA,MASCULINO,ADULTO,Colombia,NO,NO,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,0,13,13001
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Cundinamarca,GIRARDOT,DIRECCIÓN SECCIONAL DE CUNDINAMARCA,2022,2022,2022,DELITOS SEXUALES,NO APLICA,FEMENINO,NIÑA-NIÑO (0-13 años),SIN DATO,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,25,25307
SI,NO,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Boyacá,CÓMBITA,DIRECCIÓN SECCIONAL DE BOYACÁ,2024,2024,2024,DELITOS SEXUALES,NO APLICA,FEMENINO,ADULTO,Colombia,NO,NO,NO,NO,1,UTILIZAC.O FACILITAC.MEDIOS DE COMUNICAC.PARA OFRECER ACTIV. SEXUALES CON MENORES DE 18 AÑOS ART. 219A,,ESCNNA,0,15,15204
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Tolima,PURIFICACIÓN,DIRECCIÓN SECCIONAL DE TOLIMA,2013,2013,2013,DELITOS SEXUALES,NO APLICA,SIN DATO,SIN DATO,Colombia,NO,SI,NO,NO,1,INDUCCION A LA PROSTITUCION ART. 213,,ESCNNA,1,73,73585
SI,NO,NO,ACTIVO,INVESTIGACIÓN,Ley 906,Colombia,Antioquia,MEDELLÍN,DIRECCIÓN ESPECIALIZADA CONTRA ORGANIZACIONES CRIMINALES,2023,2023,2023,DELITOS SEXUALES,NO APLICA,FEMENINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,1,DEMANDA DE EXPLOT.SEX. COMERC. MENOR DE 18 AÑOS ART. 217A,N.1 EJECUTADA POR TURISTA O VIAJERO NACIONAL O EXTRANJERO,ESCNNA,1,05,05001
SI,NO,NO,ACTIVO,JUICIO,Ley 906,Colombia,Caquetá,SAN VICENTE DEL CAGUÁN,DIRECCIÓN SECCIONAL DE CAQUETÁ,2017,2020,2020,DELITOS SEXUALES,NO APLICA,FEMENINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,1,UTILIZAC.O FACILITAC.MEDIOS DE COMUNICAC.PARA OFRECER ACTIV. SEXUALES CON MENORES DE 18 AÑOS ART. 219A,,ESCNNA,1,18,18753
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Antioquia,SABANETA,DIRECCIÓN SECCIONAL DE MEDELLÍN,2014,2014,2014,DELITOS SEXUALES,NO APLICA,FEMENINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,1,INDUCCION A LA PROSTITUCION ART. 213,,ESCNNA,1,05,05631
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,"Bogotá, D.C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,2020,2020,2020,DELITOS SEXUALES,NO APLICA,FEMENINO,SIN DATO,SIN DATO,NO,SI,NO,NO,5,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,5,11,11001
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Guainía,INÍRIDA,DIRECCIÓN SECCIONAL DE GUAINÍA,2025,2025,2025,DELITOS SEXUALES,NO APLICA,MASCULINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,1,DEMANDA DE EXPLOT.SEX. COMERC. MENOR DE 18 AÑOS ART. 217A,N.4 VICTIMA MENOR DE 14 AÑOS,ESCNNA,1,94,94001
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,"Bogotá, D.C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,2017,2017,2017,DELITOS SEXUALES,NO APLICA,MASCULINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,3,UTILIZAC.O FACILITAC.MEDIOS DE COMUNICAC.PARA OFRECER ACTIV. SEXUALES CON MENORES DE 18 AÑOS ART. 219A,,ESCNNA,3,11,11001
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Quindío,CALARCA,DIRECCIÓN SECCIONAL DE QUINDÍO,2023,2023,2023,DELITOS SEXUALES,NO APLICA,MASCULINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,1,UTILIZAC.O FACILITAC.MEDIOS DE COMUNICAC.PARA OFRECER ACTIV. SEXUALES CON MENORES DE 18 AÑOS ART. 219A,,ESCNNA,1,63,63130
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Antioquia,MEDELLÍN,DIRECCIÓN SECCIONAL DE MEDELLÍN,2023,2023,2023,DELITOS SEXUALES,NO APLICA,MASCULINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,4,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,4,05,05001
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 1098,Colombia,"Bogotá, D.C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,2023,2023,2023,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,21,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,21,11,11001
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,"Bogotá, D.C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,2018,2018,2018,DELITOS SEXUALES,NO APLICA,MASCULINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,2,UTILIZAC.O FACILITAC.MEDIOS DE COMUNICAC.PARA OFRECER ACTIV. SEXUALES CON MENORES DE 18 AÑOS ART. 219A,,ESCNNA,2,11,11001
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Sucre,SINCELEJO,DIRECCIÓN SECCIONAL DE SUCRE,2016,2016,2016,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,3,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,3,70,70001
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 1098,Colombia,Cundinamarca,NILO,DIRECCIÓN SECCIONAL DE CUNDINAMARCA,2019,2022,2022,DELITOS SEXUALES,NO APLICA,FEMENINO,SIN DATO,Colombia,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,25,25488
SI,NO,NO,ACTIVO,JUICIO,Ley 906,Colombia,"Bogotá, D.C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,2016,2017,2017,DELITOS SEXUALES,NO APLICA,FEMENINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,1,UTILIZAC.O FACILITAC.MEDIOS DE COMUNICAC.PARA OFRECER ACTIV. SEXUALES CON MENORES DE 18 AÑOS ART. 219A,,ESCNNA,1,11,11001
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Cundinamarca,APULO,DIRECCIÓN SECCIONAL DE CUNDINAMARCA,2018,2018,2018,DELITOS SEXUALES,NO APLICA,FEMENINO,ADULTO,Colombia,NO,NO,NO,NO,1,UTILIZAC.O FACILITAC.MEDIOS DE COMUNICAC.PARA OFRECER ACTIV. SEXUALES CON MENORES DE 18 AÑOS ART. 219A,,ESCNNA,0,25,25599
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Bolívar,CARTAGENA,DIRECCIÓN SECCIONAL DE BOLÍVAR,2018,2018,2018,DELITOS SEXUALES,NO APLICA,FEMENINO,SIN DATO,Colombia,NO,SI,NO,NO,4,DEMANDA DE EXPLOT.SEX. COMERC. MENOR DE 18 AÑOS ART. 217A,,ESCNNA,4,13,13001
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Antioquia,MEDELLÍN,DIRECCIÓN SECCIONAL DE MEDELLÍN,2015,2015,2015,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,4,INDUCCION A LA PROSTITUCION ART. 213,ART. 216 N. 1.  CUANDO SE REALIZARE EN PERSONA MENOR DE CATORCE (14) ANOS,ESCNNA,4,05,05001
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Risaralda,PEREIRA,DIRECCIÓN SECCIONAL DE RISARALDA,2022,2023,2023,DELITOS SEXUALES,NO APLICA,FEMENINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,1,INDUCCION A LA PROSTITUCION ART. 213,,ESCNNA,1,66,66001
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Cundinamarca,SOACHA,DIRECCIÓN SECCIONAL DE CUNDINAMARCA,2020,2020,2020,DELITOS SEXUALES,NO APLICA,FEMENINO,ADULTO,Colombia,NO,NO,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,0,25,25754
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,"Archipiélago de San Andrés, Providencia y Santa Catalina",SAN ANDRÉS,"DIRECCIÓN SECCIONAL DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2023,2023,2023,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),SIN DATO,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,88,88001
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Caldas,MANIZALES,DIRECCIÓN SECCIONAL DE CALDAS,2014,2015,2015,DELITOS SEXUALES,NO APLICA,MASCULINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,17,17001
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Santander,GIRÓN,DIRECCIÓN SECCIONAL DE SANTANDER,2019,2019,2019,DELITOS SEXUALES,NO APLICA,FEMENINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,1,PROXENETISMO CON MENOR DE EDAD ART. 213A,,ESCNNA,1,68,68307
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Boyacá,TUNJA,DIRECCIÓN SECCIONAL DE BOYACÁ,2025,2025,2025,DELITOS SEXUALES,NO APLICA,MASCULINO,ADULTO,Colombia,NO,NO,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,0,15,15001
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Santander,BUCARAMANGA,DIRECCIÓN SECCIONAL DE SANTANDER,2021,2021,2021,DELITOS SEXUALES,NO APLICA,MASCULINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,1,INDUCCION A LA PROSTITUCION ART. 213,,ESCNNA,1,68,68001
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,"Bogotá, D.C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,2016,2017,2017,DELITOS SEXUALES,NO APLICA,FEMENINO,SIN DATO,Colombia,NO,SI,NO,NO,1,PROXENETISMO CON MENOR DE EDAD ART. 213A,,ESCNNA,1,11,11001
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Atlántico,BARRANQUILLA,DIRECCIÓN SECCIONAL DE ATLÁNTICO,2021,2021,2021,DELITOS SEXUALES,NO APLICA,FEMENINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,08,08001
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Cesar,CHIRIGUANÁ,DIRECCIÓN SECCIONAL DE CESAR,2019,2019,2019,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,2,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,2,20,20178
SI,NO,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Sucre,SINCELEJO,DIRECCIÓN SECCIONAL DE SUCRE,2018,2018,2018,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,1,DEMANDA DE EXPLOT.SEX. COMERC. MENOR DE 18 AÑOS ART. 217A,,ESCNNA,1,70,70001
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Cundinamarca,AGUA DE DIOS,DIRECCIÓN SECCIONAL DE CUNDINAMARCA,2013,2013,2013,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,1,INDUCCION A LA PROSTITUCION ART. 213,,ESCNNA,1,25,25001
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,"Bogotá, D.C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,2022,2022,2022,DELITOS SEXUALES,NO APLICA,FEMENINO,SIN DATO,SIN DATO,NO,NO,NO,NO,1,PROXENETISMO CON MENOR DE EDAD ART. 213A,ART. 216 N. 1.  CUANDO SE REALIZARE EN PERSONA MENOR DE CATORCE (14) ANOS,ESCNNA,0,11,11001
SI,NO,NO,ACTIVO,JUICIO,Ley 906,Colombia,Caldas,PALESTINA,DIRECCIÓN SECCIONAL DE CALDAS,2020,2020,2020,DELITOS SEXUALES,NO APLICA,FEMENINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,1,DEMANDA DE EXPLOT.SEX. COMERC. MENOR DE 18 AÑOS ART. 217A,,ESCNNA,1,17,17524
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 1098,Colombia,Antioquia,MEDELLÍN,DIRECCIÓN SECCIONAL DE MEDELLÍN,2014,2014,2014,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,1,INDUCCION A LA PROSTITUCION ART. 213,,ESCNNA,1,05,05001
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Santander,GIRÓN,DIRECCIÓN SECCIONAL DE SANTANDER,2018,2018,2018,DELITOS SEXUALES,NO APLICA,MASCULINO,SIN DATO,Colombia,NO,SI,NO,NO,1,INDUCCION A LA PROSTITUCION ART. 213,,ESCNNA,1,68,68307
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Tolima,IBAGUÉ,DIRECCIÓN SECCIONAL DE TOLIMA,2019,2019,2019,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,1,UTILIZAC.O FACILITAC.MEDIOS DE COMUNICAC.PARA OFRECER ACTIV. SEXUALES CON MENORES DE 18 AÑOS ART. 219A,,ESCNNA,1,73,73001
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Meta,PUERTO LÓPEZ,DIRECCIÓN SECCIONAL DE META,2018,2019,2019,DELITOS SEXUALES,NO APLICA,FEMENINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,50,50573
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Tolima,VENADILLO,DIRECCIÓN SECCIONAL DE TOLIMA,2012,2012,2012,DELITOS SEXUALES,NO APLICA,FEMENINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,1,INDUCCION A LA PROSTITUCION ART. 213,,ESCNNA,1,73,73861
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 1098,Colombia,Santander,AGUADA,DIRECCIÓN SECCIONAL DE SANTANDER,2020,2020,2020,DELITOS SEXUALES,NO APLICA,FEMENINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,68,68013
NO,NO,NO,INACTIVO,JUICIO,Ley 906,Colombia,Antioquia,MEDELLÍN,DIRECCIÓN SECCIONAL DE MEDELLÍN,2021,2023,2022,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),Venezuela,NO,SI,NO,NO,1,PROXENETISMO CON MENOR DE EDAD ART. 213A,,ESCNNA,1,05,05001
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Huila,GARZÓN,DIRECCIÓN SECCIONAL DE HUILA,2022,2022,2022,DELITOS SEXUALES,NO APLICA,MASCULINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,41,41298
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Cesar,LA JAGUA DE IBIRICO,SIN DATO,2014,2014,2014,DELITOS SEXUALES,NO APLICA,FEMENINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,20,20400
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Valle del Cauca,YUMBO,DIRECCIÓN SECCIONAL DE CALI,2022,2023,2023,DELITOS SEXUALES,NO APLICA,FEMENINO,ADULTO,Colombia,NO,NO,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,0,76,76892
SI,NO,NO,ACTIVO,JUICIO,Ley 906,Colombia,Tolima,ESPINAL,DIRECCIÓN SECCIONAL DE TOLIMA,2021,2021,2021,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,1,INDUCCION A LA PROSTITUCION ART. 213,,ESCNNA,1,73,73268
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 1098,Colombia,Cauca,POPAYÁN,DIRECCIÓN SECCIONAL DE CAUCA,2020,2020,2020,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,2,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,2,19,19001
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Cesar,GAMARRA,DIRECCIÓN SECCIONAL DE CESAR,2021,2021,2021,DELITOS SEXUALES,NO APLICA,MASCULINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,2,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,2,20,20295
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Meta,RESTREPO,DIRECCIÓN SECCIONAL DE META,2024,2024,2024,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,50,50606
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Atlántico,BARRANQUILLA,DIRECCIÓN SECCIONAL DE ATLÁNTICO,2017,2018,2018,DELITOS SEXUALES,NO APLICA,MASCULINO,SIN DATO,Colombia,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,08,08001
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Antioquia,BELLO,DIRECCIÓN SECCIONAL DE MEDELLÍN,2019,2019,2019,DELITOS SEXUALES,NO APLICA,FEMENINO,NIÑA-NIÑO (0-13 años),SIN DATO,NO,SI,NO,NO,2,UTILIZAC.O FACILITAC.MEDIOS DE COMUNICAC.PARA OFRECER ACTIV. SEXUALES CON MENORES DE 18 AÑOS ART. 219A,,ESCNNA,2,05,05088
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Antioquia,APARTADÓ,DIRECCIÓN SECCIONAL DE ANTIOQUIA,2025,2025,2025,DELITOS SEXUALES,NO APLICA,FEMENINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,1,INDUCCION A LA PROSTITUCION ART. 213,,ESCNNA,1,05,05045
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,"Bogotá, D.C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,2018,2021,2021,DELITOS SEXUALES,NO APLICA,MASCULINO,NIÑA-NIÑO (0-13 años),Cuba,NO,SI,NO,NO,1,UTILIZAC.O FACILITAC.MEDIOS DE COMUNICAC.PARA OFRECER ACTIV. SEXUALES CON MENORES DE 18 AÑOS ART. 219A,,ESCNNA,1,11,11001
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Quindío,QUIMBAYA,DIRECCIÓN SECCIONAL DE QUINDÍO,2025,2025,2025,DELITOS SEXUALES,NO APLICA,FEMENINO,SIN DATO,Colombia,NO,SI,NO,NO,1,PROXENETISMO CON MENOR DE EDAD ART. 213A,,ESCNNA,1,63,63594
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 1098,Colombia,Santander,BUCARAMANGA,DIRECCIÓN SECCIONAL DE SANTANDER,2016,2016,2016,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,68,68001
SI,NO,NO,ACTIVO,JUICIO,Ley 906,Colombia,Cundinamarca,MOSQUERA,DIRECCIÓN SECCIONAL DE CUNDINAMARCA,2024,2024,2024,DELITOS SEXUALES,NO APLICA,FEMENINO,SIN DATO,Colombia,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,25,25473
SI,NO,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Valle del Cauca,CALI,DIRECCIÓN SECCIONAL DE CALI,2016,2016,2016,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,1,UTILIZAC.O FACILITAC.MEDIOS DE COMUNICAC.PARA OFRECER ACTIV. SEXUALES CON MENORES DE 18 AÑOS ART. 219A,,ESCNNA,1,76,76001
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 1098,Colombia,Santander,SAN GIL,DIRECCIÓN SECCIONAL DE SANTANDER,2016,2016,2016,DELITOS SEXUALES,NO APLICA,FEMENINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,68,68679
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Meta,VILLAVICENCIO,DIRECCIÓN SECCIONAL DE META,2017,2017,2017,DELITOS SEXUALES,NO APLICA,MASCULINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,2,DEMANDA DE EXPLOT.SEX. COMERC. MENOR DE 18 AÑOS ART. 217A,,ESCNNA,2,50,50001
